"Schema Version","Record Type","Source Name","Source URL","Canonical Startup Name","Primary Business Sector","Algorithmic Employee Count","Open Source Downloads (Traction)","Collected At"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/usyd-community","usyd-community","Vitpose",91,1169967,"2026-09-17T03:46:08.832Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/CIDAS","CIDAS","Vision",90,1156819,"2026-09-17T03:46:08.833Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/NbAiLab","NbAiLab","Tensorboard",90,1147783,"2026-09-17T03:46:08.833Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/imvladikon","imvladikon","Wav2vec2",90,1144696,"2026-09-17T03:46:08.833Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/pysentimiento","pysentimiento","Pysentimiento",89,1130372,"2026-09-17T03:46:08.833Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/kha-white","kha-white","Vision Encoder Decoder",89,1113047,"2026-09-17T03:46:08.833Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/circlestone-labs","circlestone-labs","Diffusion Single File",88,1093191,"2026-09-17T03:46:08.833Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/lxyuan","lxyuan","Onnx",88,1088096,"2026-09-17T03:46:08.834Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/PaddlePaddle","PaddlePaddle","Pp_doclayout_v3",88,1075422,"2026-09-17T03:46:08.834Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/allenai","allenai","Bert",88,1073938,"2026-09-17T03:46:08.834Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/thenlper","thenlper","Sentence Transformers",87,1068659,"2026-09-17T03:46:08.834Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/WhereIsAI","WhereIsAI","Sentence Transformers",87,1057785,"2026-09-17T03:46:08.834Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/prism-ml","prism-ml","Text Generation",87,1057283,"2026-09-17T03:46:08.834Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/Abiray","Abiray","Audio Video Generation",87,1055188,"2026-09-17T03:46:08.834Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/lfcc","lfcc","Tensorboard",87,1051912,"2026-09-17T03:46:08.834Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/gabor-hosu","gabor-hosu","Sentence Transformers",86,1036311,"2026-09-17T03:46:08.835Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/TaylorAI","TaylorAI","Sentence Transformers",86,1020564,"2026-09-17T03:46:08.835Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/legraphista","legraphista","Text Generation",86,1011242,"2026-09-17T03:46:08.835Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/arijitx","arijitx","Wav2vec2",86,1010257,"2026-09-17T03:46:08.835Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/shibing624","shibing624","Sentence Transformers",86,1007961,"2026-09-17T03:46:08.835Z"
